ID,Name,time_on,time_off
16,"Kitchen Lights",1339606800,1339606860
16,"Kitchen Lights",1339606920,1339606950
16,"Kitchen Lights",1339607010,1339607070
16,"Kitchen Lights",1339607130,1339607160
17,"Kitchen Table Lights",1339607190,1339607220
17,"Kitchen Table Lights",1339607280,1339607340
17,"Kitchen Table Lights",1339607400,1339607430
17,"Kitchen Table Lights",1339607490,1339607520
31,"Stairway Lights",1339607550,1339607610
31,"Stairway Lights",1339607670,1339607700
31,"Stairway Lights",1339607760,1339607820
31,"Stairway Lights",1339607880,1339607940
15,"Hallway Lights",1339607940,1339608000
15,"Hallway Lights",1339608060,1339608090
15,"Hallway Lights",1339608150,1339608210
15,"Hallway Lights",1339608270,1339608330
12,"Front Room Lights",1339608390,1339608450
12,"Front Room Lights",1339608510,1339608540
12,"Front Room Lights",1339608660,1339608720
12,"Front Room Lights",1339608780,1339608840
19,"Laundry Room Lights",1339608870,1339608900
19,"Laundry Room Lights",1339608990,1339609080
20,"Living Room Lights",1339609230,1339609290
20,"Living Room Lights",1339609410,1339609470
26,"Office Lights",1339609830,1339609890
26,"Office Lights",1339610010,1339610130
3,"Bedroom 1 Lights",1339610190,1339610250
3,"Bedroom 1 Lights",1339610310,1339610370
3,"Bedroom 1 Lights",1339610490,1339610550
1,"Bathroom 1 Lights",1339610880,1339610910
1,"Bathroom 1 Lights",1339611060,1339611120
4,"Bedroom 2 Lights",1339611240,1339611300
4,"Bedroom 2 Lights",1339611420,1339611480
2,"Bathroom 2 Lights",1339611720,1339611780
2,"Bathroom 2 Lights",1339611900,1339611960
23,"Master Bedroom Lights",1339624680,1339624740
23,"Master Bedroom Lights",1339624860,1339624920
22,"Master Bath Lights",1339625040,1339625100
22,"Master Bath Lights",1339625220,1339625280
24,"Master Closet Lights",1339625400,1339625460
24,"Master Closet Lights",1339625610,1339625670
34,"Tea Kettle",1339621890,1339622100
34,"Tea Kettle",1339622400,1339622610
34,"Tea Kettle",1339622700,1339622940
34,"Tea Kettle",1339623060,1339623270
35,"Toaster",1339625880,1339625940
35,"Toaster",1339626090,1339626210
35,"Toaster",1339626540,1339626630
35,"Toaster",1339626960,1339627140
37,"Washer",1339627440,1339631130
37,"Washer",1339633470,1339637610
10,"Dryer",1339631160,1339633410
10,"Dryer",1339637700,1339641240
27,"Outdoor Lights",1339678980,1339679040
27,"Outdoor Lights",1339679160,1339679220
11,"Front Hall Lights",1339679280,1339679340
11,"Front Hall Lights",1339679400,1339679460
11,"Front Hall Lights",1339679580,1339679640
37,"Washer",1339687110,1339690080
37,"Washer",1339698630,1339701660
10,"Dryer",1339690230,1339691940
10,"Dryer",1339726200,1339727940
9,"Dishwasher",1339766640,1339774890
9,"Dishwasher",1339775010,1339785180
9,"Dishwasher",1339785270,1339791750
21,"Master Bath Fan",1360950900,1360950930
21,"Master Bath Fan",1360950990,1360951020
21,"Master Bath Fan",1360951080,1360951110
21,"Master Bath Fan",1360951170,1360951200
14,"Hair Dryer",1360951590,1360951620
14,"Hair Dryer",1360951740,1360951770
32,"Straightening Iron",1360951890,1360951920
32,"Straightening Iron",1360952100,1360952100
13,"Garbage Disposal",1360952160,1360952160
13,"Garbage Disposal",1360952220,1360952220
13,"Garbage Disposal",1360952280,1360952280
13,"Garbage Disposal",1360952340,1360952340
25,"Microwave",1360952400,1360952400
25,"Microwave",1360952460,1360952460
25,"Microwave",1360952520,1360952550
25,"Microwave",1360952610,1360952610
30,"Refrigerator",1360952700,1360952700
30,"Refrigerator",1360952820,1360952820
30,"Refrigerator",1360952880,1360952880
28,"Phone Charger",1360953000,1360953000
28,"Phone Charger",1360953120,1360953120
28,"Phone Charger",1360953180,1360953180
28,"Phone Charger",1360953240,1360953240
36,"Vacuum",1360953300,1360953300
36,"Vacuum",1360953360,1360953360
36,"Vacuum",1360953420,1360953420
36,"Vacuum",1360953480,1360953480
8,"Dining Room Lights",1360953510,1360953540
8,"Dining Room Lights",1360953600,1360953600
8,"Dining Room Lights",1360953660,1360953660
8,"Dining Room Lights",1360953720,1360953720
18,"Laptop Charger",1360953780,1360953900
18,"Laptop Charger",1360953960,1360954080
18,"Laptop Charger",1360954140,1360954260
18,"Laptop Charger",1360954320,1360954440
7,"Crockpot",1360954500,1360954560
7,"Crockpot",1360954620,1360954650
7,"Crockpot",1360954800,1360954830
5,"Coffee Maker",1360954890,1360955010
5,"Coffee Maker",1360955100,1360955400
5,"Coffee Maker",1360955520,1360955670
5,"Coffee Maker",1360955760,1360955940
33,"TV/DVR",1360956060,1360956120
33,"TV/DVR",1360956210,1360956270
33,"TV/DVR",1360956330,1360956390
6,"Computer",1360956450,1360956570
6,"Computer",1360956630,1360956720
6,"Computer",1360956810,1360956900
6,"Computer",1360956960,1360957020
29,"Printer",1360957080,1360957230
29,"Printer",1360957290,1360957380
29,"Printer",1360957440,1360957500
29,"Printer",1360957590,1360957650
