ID,Name,time_on,time_off
32,"Stove",1343331240,1343331270
32,"Stove",1343333640,1343333700
32,"Stove",1343335230,1343335290
25,"Microwave",1343331360,1343331420
25,"Microwave",1343333760,1343333790
25,"Microwave",1343335380,1343335410
33,"Toaster Oven",1343331540,1343331600
33,"Toaster Oven",1343333880,1343333940
33,"Toaster Oven",1343335470,1343335530
6,"Bread Maker",1343331720,1343331840
6,"Bread Maker",1343334060,1343334150
19,"Kettle",1343331960,1343332200
19,"Kettle",1343334840,1343335110
19,"Kettle",1343341230,1343341440
12,"Dishwasher",1343336610,1343340750
26,"Mixer",1343332380,1343332380
26,"Mixer",1343332440,1343332440
31,"Sandwich Maker",1343332560,1343332620
31,"Sandwich Maker",1343334240,1343334300
31,"Sandwich Maker",1343335800,1343335830
21,"Kitchen Lights with Dimmer",1343333040,1343333070
21,"Kitchen Lights with Dimmer",1343334390,1343334450
21,"Kitchen Lights with Dimmer",1343335890,1343335950
20,"Kitchen Counter Lights",1343332830,1343332890
20,"Kitchen Counter Lights",1343334510,1343334570
20,"Kitchen Counter Lights",1343336040,1343336100
27,"Oven",1343333220,1343333490
27,"Oven",1343336160,1343336430
27,"Oven",1343340840,1343341110
36,"Vaccum",1343341620,1343341650
36,"Vaccum",1343341710,1343341740
36,"Vaccum",1343341800,1343341830
17,"Hairdryer",1343341980,1343342010
17,"Hairdryer",1343342070,1343342100
17,"Hairdryer",1343342160,1343342190
3,"Bedroom Lamp 1",1343421840,1343421870
3,"Bedroom Lamp 1",1343422080,1343422110
3,"Bedroom Lamp 1",1343422380,1343422410
4,"Bedroom Lamps 2",1343421720,1343421750
4,"Bedroom Lamps 2",1343421960,1343421990
4,"Bedroom Lamps 2",1343422260,1343422290
30,"Room Baseboard Heater",1343422560,1343422710
30,"Room Baseboard Heater",1343422800,1343422920
30,"Room Baseboard Heater",1343423160,1343423280
29,"PS3",1343425320,1343425380
29,"PS3",1343425440,1343425500
29,"PS3",1343425560,1343425620
13,"Electric Furnace",1343424540,1343424630
13,"Electric Furnace",1343424750,1343424840
13,"Electric Furnace",1343425680,1343425800
23,"Livingroom Lamp 1",1343425890,1343425920
23,"Livingroom Lamp 1",1343426190,1343426220
23,"Livingroom Lamp 1",1343426400,1343426430
24,"Livingroom Lamp 2",1343426010,1343426040
24,"Livingroom Lamp 2",1343426310,1343426340
24,"Livingroom Lamp 2",1343426490,1343426520
5,"Bose iPhone Dock",1343427030,1343427120
5,"Bose iPhone Dock",1343427450,1343427510
5,"Bose iPhone Dock",1343427600,1343427660
15,"Forced-air Heater",1343423520,1343423640
15,"Forced-air Heater",1343423820,1343423940
15,"Forced-air Heater",1343424330,1343424450
28,"PC",1343427810,1343427840
28,"PC",1343427900,1343427930
28,"PC",1343427990,1343428080
8,"Computer Desk Lamp",1343428200,1343428230
8,"Computer Desk Lamp",1343428320,1343428350
8,"Computer Desk Lamp",1343428440,1343428470
10,"Den Baseboard Heater",1343423010,1343423100
10,"Den Baseboard Heater",1343423340,1343423460
10,"Den Baseboard Heater",1343423670,1343423760
11,"Den Overhead Light",1343428650,1343428680
11,"Den Overhead Light",1343428770,1343428800
11,"Den Overhead Light",1343428920,1343428950
22,"LivingRoom overhead halogen",1343429250,1343429280
22,"LivingRoom overhead halogen",1343429370,1343429400
22,"LivingRoom overhead halogen",1343429490,1343429520
14,"Entry light",1343429610,1343429640
14,"Entry light",1343429730,1343429760
14,"Entry light",1343429850,1343429880
18,"Hallway overhead Light",1343429970,1343430000
18,"Hallway overhead Light",1343430090,1343430120
18,"Hallway overhead Light",1343430210,1343430240
9,"Deck Light",1343430330,1343430360
9,"Deck Light",1343430450,1343430480
9,"Deck Light",1343430570,1343430600
35,"Toilet Halogen",1343430690,1343430720
35,"Toilet Halogen",1343430810,1343430840
35,"Toilet Halogen",1343430930,1343430960
34,"Toilet Exhaust",1343431050,1343431080
34,"Toilet Exhaust",1343431170,1343431200
34,"Toilet Exhaust",1343431290,1343431320
7,"Closet Light",1343431470,1343431500
7,"Closet Light",1343431590,1343431620
7,"Closet Light",1343431770,1343431800
1,"Apple Macbook Pro 13",1343433180,1343433180
1,"Apple Macbook Pro 13",1343433240,1343433240
1,"Apple Macbook Pro 13",1343433300,1343433300
2,"Apple Macbook Pro 15",1343433630,1343433660
2,"Apple Macbook Pro 15",1343433720,1343433750
16,"HP Elitebook Laptop",1343432280,1343432340
16,"HP Elitebook Laptop",1343432580,1343432580
16,"HP Elitebook Laptop",1343432640,1343432640
